Chamber,State,First_Name,Middle_Name,Last_Name,Suffix,Party,Congressional_Year
Senate,Alabama,John,J.,Sparkman,,D,1955
Senate,Alabama,J.,Lister,Hill,,D,1955
Senate,Arizona,Barry,,Goldwater,,R,1955
Senate,Arizona,Carl,,Hayden,,D,1955
Senate,Arkansas,John,L.,McClellan,,D,1955
Senate,Arkansas,J.,William,Fulbright,,D,1955
Senate,California,William,,Knowland,,R,1955
Senate,California,Thomas,,Kuchel,,R,1955
Senate,Colorado,Gordon,,Allott,,R,1955
Senate,Colorado,Eugene,,Millikin,,R,1955
Senate,Connecticut,William,A.,Purtell,,R,1955
Senate,Connecticut,Prescott,,Bush,,R,1955
Senate,Delaware,John,J.,Williams,,R,1955
Senate,Delaware,J.,Allen,Frear,Jr.,D,1955
Senate,Florida,Spessard,,Holland,,D,1955
Senate,Florida,George,,Smathers,,D,1955
Senate,Georgia,Richard,,Russell,Jr.,D,1955
Senate,Georgia,Walter,F.,George,,D,1955
Senate,Idaho,Henry,,Dworshak,,R,1955
Senate,Idaho,Herman,,Welker,,R,1955
Senate,Illinois,Paul,,Douglas,,D,1955
Senate,Illinois,Everett,M.,Dirksen,,R,1955
Senate,Indiana,William,E.,Jenner,,R,1955
Senate,Indiana,Homer,E.,Capehart,,R,1955
Senate,Iowa,Thomas,E.,Martin,,R,1955
Senate,Iowa,Bourke,B.,Hickenlooper,,R,1955
Senate,Kansas,Andrew,Frank,Schoeppel,,R,1955
Senate,Kansas,Frank,,Carlson,,R,1955
Senate,Kentucky,Alben,,Barkley,,D,1955
Senate,Kentucky,Robert,,Humphreys,,D,1955
Senate,Kentucky,John,Sherman,Cooper,,R,1955
Senate,Kentucky,Earle,,Clements,,D,1955
Senate,Louisiana,Allen,J.,Ellender,,D,1955
Senate,Louisiana,Russell,B.,Long,,D,1955
Senate,Maine,Frederick,G.,Payne,,R,1955
Senate,Maine,Margaret,Chase,Smith,,R,1955
Senate,Maryland,James,Glenn,Beall,,R,1955
Senate,Maryland,John,Marshall,Butler,,R,1955
Senate,Massachusetts,John,F.,Kennedy,,D,1955
Senate,Massachusetts,Leverett,,Saltonstall,,R,1955
Senate,Michigan,Charles,E.,Potter,,R,1955
Senate,Michigan,Patrick,V.,McNamara,,D,1955
Senate,Minnesota,Edward,John,Thye,,R,1955
Senate,Minnesota,Hubert,,Humphrey,,DFL,1955
