Chamber,State,First_Name,Middle_Name,Last_Name,Suffix,Party,Congressional_Year
Senate,Alabama,John,J.,Sparkman,,D,1951
Senate,Alabama,J.,Lister,Hill,,D,1951
Senate,Arizona,Ernest,,McFarland,,D,1951
Senate,Arizona,Carl,,Hayden,,D,1951
Senate,Arkansas,John,L.,McClellan,,D,1951
Senate,Arkansas,J.,William,Fulbright,,D,1951
Senate,California,William,,Knowland,,R,1951
Senate,California,Richard,,Nixon,,R,1951
Senate,California,Thomas,,Kuchel,,R,1951
Senate,Colorado,Edwin,C.,Johnson,,D,1951
Senate,Colorado,Eugene,,Millikin,,R,1951
Senate,Connecticut,William,,Benton,,D,1951
Senate,Connecticut,Brien,,McMahon,,D,1951
Senate,Connecticut,William,A.,Purtell,,R,1951
Senate,Connecticut,Prescott,,Bush,,R,1951
Senate,Delaware,John,J.,Williams,,R,1951
Senate,Delaware,J.,Allen,Frear,Jr.,D,1951
Senate,Florida,Spessard,,Holland,,D,1951
Senate,Florida,George,,Smathers,,D,1951
Senate,Georgia,Walter,F.,George,,D,1951
Senate,Georgia,Richard,,Russell,Jr.,D,1951
Senate,Idaho,Henry,,Dworshak,,R,1951
Senate,Idaho,Herman,,Welker,,R,1951
Senate,Illinois,Paul,,Douglas,,D,1951
Senate,Illinois,Everett,,Dirksen,,R,1951
Senate,Indiana,William,E.,Jenner,,R,1951
Senate,Indiana,Homer,E.,Capehart,,R,1951
Senate,Iowa,Guy,M.,Gillette,,D,1951
Senate,Iowa,Bourke,B.,Hickenlooper,,R,1951
Senate,Kansas,Andrew,Frank,Schoeppel,,R,1951
Senate,Kansas,Frank,,Carlson,,R,1951
Senate,Kentucky,Virgil,,Chapman,,D,1951
Senate,Kentucky,Thomas,R.,Underwood,,D,1951
Senate,Kentucky,John,Sherman,Cooper,,R,1951
Senate,Kentucky,Earle,,Clements,,D,1951
Senate,Louisiana,Allen,J.,Ellender,,D,1951
Senate,Louisiana,Russell,B.,Long,,D,1951
Senate,Maine,Ralph,Owen,Brewster,,R,1951
Senate,Maine,Margaret,Chase,Smith,,R,1951
Senate,Maryland,Herbert,,O'Conor,,D,1951
Senate,Maryland,John,Marshall,Butler,,R,1951
Senate,Massachusetts,Henry,Cabot,Lodge,Jr.,R,1951
Senate,Massachusetts,Leverett,,Saltonstall,,R,1951
Senate,Michigan,Arthur,,Vandenberg,,R,1951
Senate,Michigan,Blair,,Moody,,D,1951
Senate,Michigan,Charles,E.,Potter,,R,1951
Senate,Michigan,Homer,S.,Ferguson,,R,1951
Senate,Minnesota,Edward,John,Thye,,R,1951
Senate,Minnesota,Hubert,,Humphrey,,DFL,1951
Senate,Mississippi,John,C.,Stennis,,D,1951
Senate,Mississippi,James,,Eastland,,D,1951
Senate,Missouri,James,P.,Kem,,R,1951
Senate,Missouri,Thomas,C.,Hennings,Jr.,D,1951
Senate,Montana,Zales,,Ecton,,R,1951
Senate,Montana,James,E.,Murray,,D,1951
Senate,Nebraska,Hugh,A.,Butler,,R,1951
Senate,Nebraska,Kenneth,S.,Wherry,,R,1951
Senate,Nebraska,Fred,A.,Seaton,,R,1951
Senate,Nebraska,Dwight,,Griswold,,R,1951
Senate,Nevada,George,W.,Malone,,R,1951
Senate,Nevada,Patrick,A.,McCarran,,D,1951
Senate,New Hampshire,Styles,,Bridges,,R,1951
Senate,New Hampshire,Charles,W.,Tobey,,R,1951
