Chamber,State,First_Name,Middle_Name,Last_Name,Suffix,Party,Congressional_Year
Senate,Alabama,John,J.,Sparkman,,D,1953
Senate,Alabama,J.,Lister,Hill,,D,1953
Senate,Arizona,Barry,,Goldwater,,R,1953
Senate,Arizona,Carl,,Hayden,,D,1953
Senate,Arkansas,John,L.,McClellan,,D,1953
Senate,Arkansas,J.,William,Fulbright,,D,1953
Senate,California,William,,Knowland,,R,1953
Senate,California,Thomas,,Kuchel,,R,1953
Senate,Colorado,Edwin,C.,Johnson,,D,1953
Senate,Colorado,Eugene,,Millikin,,R,1953
Senate,Connecticut,William,A.,Purtell,,R,1953
Senate,Connecticut,Prescott,,Bush,,R,1953
Senate,Delaware,John,J.,Williams,,R,1953
Senate,Delaware,J.,Allen,Frear,Jr.,D,1953
Senate,Florida,Spessard,,Holland,,D,1953
Senate,Florida,George,,Smathers,,D,1953
Senate,Georgia,Richard,,Russell,Jr.,D,1953
Senate,Georgia,Walter,F.,George,,D,1953
Senate,Idaho,Henry,,Dworshak,,R,1953
Senate,Idaho,Herman,,Welker,,R,1953
Senate,Illinois,Paul,,Douglas,,D,1953
Senate,Illinois,Everett,M.,Dirksen,,R,1953
Senate,Indiana,William,E.,Jenner,,R,1953
Senate,Indiana,Homer,E.,Capehart,,R,1953
Senate,Iowa,Guy,M.,Gillette,,D,1953
Senate,Iowa,Bourke,B.,Hickenlooper,,R,1953
Senate,Kansas,Andrew,Frank,Schoeppel,,R,1953
Senate,Kansas,Frank,,Carlson,,R,1953
Senate,Kentucky,John,Sherman,Cooper,,R,1953
Senate,Kentucky,Earle,,Clements,,D,1953
Senate,Louisiana,Allen,J.,Ellender,,D,1953
Senate,Louisiana,Russell,B.,Long,,D,1953
Senate,Maine,Frederick,G.,Payne,,R,1953
Senate,Maine,Margaret,Chase,Smith,,R,1953
Senate,Maryland,James,Glenn,Beall,,R,1953
Senate,Maryland,John,Marshall,Butler,,R,1953
Senate,Massachusetts,John,F.,Kennedy,,D,1953
Senate,Massachusetts,Leverett,,Saltonstall,,R,1953
Senate,Michigan,Charles,E.,Potter,,R,1953
Senate,Michigan,Homer,S.,Ferguson,,R,1953
Senate,Minnesota,Edward,John,Thye,,R,1953
