Chamber,State,First_Name,Middle_Name,Last_Name,Suffix,Party,Congressional_Year
Senate,Alabama,John,J.,Sparkman,,D,1959
Senate,Alabama,J.,Lister,Hill,,D,1959
Senate,Alaska,Bob,,Bartlett,,D,1959
Senate,Alaska,Ernest,,Gruening,,D,1959
Senate,Arizona,Barry,,Goldwater,,R,1959
Senate,Arizona,Carl,,Hayden,,D,1959
Senate,Arkansas,John,L.,McClellan,,D,1959
Senate,Arkansas,J.,William,Fulbright,,D,1959
Senate,California,Clair,,Engle,,D,1959
Senate,California,Thomas,,Kuchel,,R,1959
Senate,Colorado,Gordon,,Allott,,R,1959
Senate,Colorado,John,A.,Carroll,,D,1959
Senate,Connecticut,Thomas,J.,Dodd,,D,1959
Senate,Connecticut,Prescott,,Bush,,R,1959
Senate,Delaware,John,J.,Williams,,R,1959
Senate,Delaware,J.,Allen,Frear,Jr.,D,1959
Senate,Florida,Spessard,,Holland,,D,1959
Senate,Florida,George,,Smathers,,D,1959
Senate,Georgia,Richard,,Russell,Jr.,D,1959
Senate,Georgia,Herman,,Talmadge,,D,1959
Senate,Hawaii,Hiram,,Fong,,R,1959
Senate,Hawaii,Oren,E.,Long,,D,1959
Senate,Idaho,Henry,,Dworshak,,R,1959
Senate,Idaho,Frank,,Church,,D,1959
Senate,Illinois,Paul,,Douglas,,D,1959
Senate,Illinois,Everett,M.,Dirksen,,R,1959
Senate,Indiana,Vance,,Hartke,,D,1959
Senate,Indiana,Homer,E.,Capehart,,R,1959
Senate,Iowa,Thomas,E.,Martin,,R,1959
Senate,Iowa,Bourke,B.,Hickenlooper,,R,1959
Senate,Kansas,Andrew,Frank,Schoeppel,,R,1959
Senate,Kansas,Frank,,Carlson,,R,1959
Senate,Kentucky,John,Sherman,Cooper,,R,1959
Senate,Kentucky,Thruston,Ballard,Morton,,R,1959
Senate,Louisiana,Allen,J.,Ellender,,D,1959
Senate,Louisiana,Russell,B.,Long,,D,1959
Senate,Maine,Edmund,,Muskie,,D,1959
Senate,Maine,Margaret,Chase,Smith,,R,1959
